Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  sourceMountain  ?b   ,?a  sourcePlace  ?b,1.0,1.0,1.0,179,179,179,?a,1.0,0.0,1.0,0.0,165,0,165,0
?a  distributingLabel  ?b   ,?a  distributingCompany  ?b,1.0,1.0,1.0,946,946,946,?a,1.0,0.0,1.0,0.0,597,0,597,0
?b  operator  ?a   ,?a  operator  ?b,0.01754386,0.01754386,1.0,4,228,4,?a,1.0,0.0,1.0,0.0,3,0,3,0
?b  lieutenant  ?a   ,?a  governor  ?b,0.277936963,0.932692308,1.0,97,104,97,?a,1.0,1.0,0.25,0.75,21,63,21,63
?b  knownFor  ?a   ,?a  breeder  ?b,0.016393443,0.00309119,1.0,2,647,2,?a,1.0,0.0,1.0,0.0,2,0,2,0
?a  mouthPlace  ?b   ,?a  mouthMountain  ?b,1.0,1.0,1.0,261,261,261,?a,1.0,0.0,1.0,0.0,223,0,223,0
?b  isPartOf  ?a   ,?a  metropolitanBorough  ?b,0.073170732,0.000380872,1.0,9,23630,9,?a,1.0,0.0,1.0,0.0,9,0,9,0
?a  musicalArtist  ?b   ,?a  musicalBand  ?b,1.0,1.0,1.0,3018,3018,3018,?b,1.0,0.0,1.0,0.0,1467,0,1467,0
?a  owner  ?b   ,?a  owningCompany  ?b,0.387943262,0.45735786,1.0,547,1196,547,?a,1.0,0.0,1.0,0.0,427,0,427,0
?a  operator  ?b   ,?a  tenant  ?b,0.084249084,0.100877193,1.0,23,228,23,?b,0.6388888888888888,0.0,1.0,0.0,23,0,36,0
?a  musicalBand  ?b   ,?a  musicalArtist  ?b,1.0,1.0,1.0,3018,3018,3018,?b,1.0,0.0,1.0,0.0,1467,0,1467,0
?a  mouthMountain  ?b   ,?a  mouthPlace  ?b,1.0,1.0,1.0,261,261,261,?a,1.0,0.0,1.0,0.0,223,0,223,0
?a  position  ?b   ,?a  honours  ?b,0.011312217,0.001749475,1.0,5,2858,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?a  patron  ?b   ,?a  notableCommander  ?b,0.011494253,0.1875,1.0,3,16,3,?b,0.4,0.0,1.0,0.0,2,0,5,0
?a  officialLanguage  ?b   ,?a  language  ?b,0.066024436,1.0,1.0,281,281,281,?a,1.0,1.0,0.43891402714932126,0.5610859728506787,97,124,97,124
?a  regionalLanguage  ?b   ,?a  language  ?b,0.010103383,1.0,1.0,43,43,43,?a,1.0,1.0,0.45,0.55,9,11,9,11
?a  city  ?b   ,?a  federalState  ?b,0.038461538,0.001453911,1.0,5,3439,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?b  servingRailwayLine  ?a   ,?a  routeStart  ?b,0.02020202,0.8,1.0,4,5,4,?b,1.0,0.0,1.0,0.0,4,0,4,0
?a  owningCompany  ?b   ,?a  owner  ?b,0.45735786,0.387943262,1.0,547,1410,547,?a,1.0,0.0,1.0,0.0,427,0,427,0
?b  nextEvent  ?a   ,?a  previousEvent  ?b,0.621359223,0.984615385,1.0,64,65,64,?a,1.0,0.0,1.0,0.0,64,0,64,0
?b  sisterNewspaper  ?a   ,?a  sisterNewspaper  ?b,1.0,1.0,1.0,182,182,182,?a,1.0,0.0,1.0,0.0,14,0,14,0
?a  stateOfOrigin  ?b   ,?a  nationality  ?b,0.341939755,1.0,1.0,1033,1033,1033,?a,1.0,1.0,0.6683366733466933,0.3316633266533066,667,331,667,331
?a  country  ?b   ,?a  locationCountry  ?b,0.547158404,0.03358569,1.0,905,26946,905,?a,1.0,0.0,1.0,0.0,682,0,682,0
?a  distributingCompany  ?b   ,?a  distributingLabel  ?b,1.0,1.0,1.0,946,946,946,?a,1.0,0.0,1.0,0.0,597,0,597,0
?a  sourcePlace  ?b   ,?a  sourceMountain  ?b,1.0,1.0,1.0,179,179,179,?a,1.0,0.0,1.0,0.0,165,0,165,0
?a  locationCountry  ?b   ,?a  country  ?b,0.03358569,0.547158404,1.0,905,1654,905,?a,1.0,0.0,1.0,0.0,682,0,682,0
?a  associatedBand  ?b   ,?a  associatedMusicalArtist  ?b,1.0,1.0,1.0,52171,52171,52171,?a,1.0,1.0,0.02234891676168757,0.9776510832383124,294,12861,294,12861
?a  associatedMusicalArtist  ?b   ,?a  associatedBand  ?b,1.0,1.0,1.0,52171,52171,52171,?a,1.0,1.0,0.02234891676168757,0.9776510832383124,294,12861,294,12861
?f  developer  ?b  ?a  gameEngine  ?f   ,?a  publisher  ?b,0.016129032,1.0,1.0,3,3,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?a  magazine  ?f  ?f  publisher  ?b   ,?a  publisher  ?b,0.016129032,1.0,1.0,3,3,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?a  keyPerson  ?b  ?a  owner  ?b   ,?a  foundedBy  ?b,0.027863777,0.545454545,1.0,18,33,18,?b,0.7894736842105263,0.0,1.0,0.0,15,0,19,0
?a  keyPerson  ?b  ?a  owningCompany  ?b   ,?a  foundedBy  ?b,0.027863777,0.461538462,1.0,18,39,18,?b,0.7894736842105263,0.0,1.0,0.0,15,0,19,0
?a  growingGrape  ?f  ?b  wineRegion  ?f   ,?a  growingGrape  ?b,0.057981928,1.0,1.0,77,77,77,?a,1.0,0.0,1.0,0.0,53,0,53,0
?e  artist  ?b  ?e  recordedIn  ?a   ,?a  artist  ?b,0.012413793,0.017208413,1.0,9,523,9,?a,1.0,0.0,1.0,0.0,8,0,8,0
?a  predecessor  ?b  ?b  vicePresident  ?a   ,?a  president  ?b,0.025685677,0.936507937,1.0,59,63,59,?a,1.0,1.0,0.6727272727272727,0.32727272727272727,37,18,37,18
?a  frazioni  ?f  ?f  province  ?b   ,?a  province  ?b,0.068965517,1.0,1.0,10,10,10,?a,1.0,0.0,1.0,0.0,10,0,10,0
?e  frazioni  ?a  ?e  province  ?b   ,?a  province  ?b,0.068965517,0.909090909,1.0,10,11,10,?a,1.0,0.0,1.0,0.0,10,0,10,0
?a  director  ?b  ?a  voice  ?b   ,?a  author  ?b,0.010144928,0.777777778,1.0,7,9,7,?b,0.8333333333333334,0.0,1.0,0.0,5,0,6,0
?f  ethnicity  ?b  ?a  parent  ?f   ,?a  ethnicity  ?b,0.01826484,0.266666667,1.0,4,15,4,?a,1.0,1.0,0.5,0.5,2,2,2,2
?e  ethnicity  ?b  ?e  parent  ?a   ,?a  ethnicity  ?b,0.01369863,0.142857143,1.0,3,21,3,?a,1.0,1.0,0.3333333333333333,0.6666666666666666,1,2,1,2
?a  owner  ?b  ?a  tenant  ?b   ,?a  operator  ?b,0.057017544,0.393939394,1.0,13,33,13,?a,1.0,0.0,1.0,0.0,13,0,13,0
?a  isPartOf  ?f  ?b  service  ?f   ,?a  operator  ?b,0.013157895,0.75,1.0,3,4,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?b  ground  ?a  ?a  owner  ?b   ,?a  operator  ?b,0.048245614,0.244444444,1.0,11,45,11,?a,1.0,0.0,1.0,0.0,11,0,11,0
?a  isPartOf  ?b  ?a  owner  ?b   ,?a  operator  ?b,0.048245614,0.846153846,1.0,11,13,11,?a,1.0,0.0,1.0,0.0,10,0,10,0
?e  isPartOf  ?a  ?e  owner  ?b   ,?a  operator  ?b,0.013157895,0.09375,1.0,3,32,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?e  garrison  ?a  ?e  militaryBranch  ?b   ,?a  operator  ?b,0.013157895,0.022900763,1.0,3,131,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?f  manufacturer  ?b  ?a  vehicle  ?f   ,?a  manufacturer  ?b,0.012345679,0.8,1.0,4,5,4,?a,1.0,0.0,1.0,0.0,4,0,4,0
?e  manufacturer  ?b  ?e  vehicle  ?a   ,?a  manufacturer  ?b,0.015432099,1.0,1.0,5,5,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?a  institution  ?f  ?b  sisterCollege  ?f   ,?a  institution  ?b,0.018867925,0.666666667,1.0,2,3,2,?b,0.0,0.5,0.0,1.0,0,1,0,2
?a  institution  ?f  ?f  sisterCollege  ?b   ,?a  institution  ?b,0.018867925,0.4,1.0,2,5,2,?b,0.0,0.5,0.0,1.0,0,1,0,2
?e  governmentType  ?a  ?e  officialLanguage  ?b   ,?a  officialLanguage  ?b,0.010676157,0.02189781,1.0,3,137,3,?a,0.0,1.0,0.0,1.0,0,1,0,1
?e  governmentType  ?a  ?e  language  ?b   ,?a  officialLanguage  ?b,0.010676157,0.013392857,1.0,3,224,3,?a,0.0,1.0,0.0,1.0,0,1,0,1
?a  president  ?b  ?b  spouse  ?a   ,?a  governor  ?b,0.017191977,0.3,1.0,6,20,6,?a,1.0,1.0,0.16666666666666666,0.8333333333333334,1,5,1,5
?a  president  ?b  ?a  spouse  ?b   ,?a  governor  ?b,0.017191977,0.3,1.0,6,20,6,?a,1.0,1.0,0.16666666666666666,0.8333333333333334,1,5,1,5
?b  knownFor  ?f  ?a  owner  ?f   ,?a  breeder  ?b,0.024590164,0.068181818,1.0,3,44,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?f  foundedBy  ?b  ?a  owner  ?f   ,?a  breeder  ?b,0.024590164,0.046153846,1.0,3,65,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?a  affiliation  ?f  ?f  europeanParliamentGroup  ?b   ,?a  europeanParliamentGroup  ?b,0.033333333,0.8,1.0,4,5,4,?a,1.0,0.0,1.0,0.0,4,0,4,0
?e  affiliation  ?a  ?e  europeanParliamentGroup  ?b   ,?a  europeanParliamentGroup  ?b,0.033333333,1.0,1.0,4,4,4,?a,1.0,0.0,1.0,0.0,4,0,4,0
?a  foundedBy  ?b  ?a  owningCompany  ?b   ,?a  keyPerson  ?b,0.016574586,0.620689655,1.0,18,29,18,?a,1.0,0.0,1.0,0.0,15,0,15,0
?a  foundedBy  ?b  ?a  owner  ?b   ,?a  keyPerson  ?b,0.016574586,0.692307692,1.0,18,26,18,?a,1.0,0.0,1.0,0.0,15,0,15,0
?e  operatingSystem  ?b  ?e  programmingLanguage  ?a   ,?a  operatingSystem  ?b,0.020100503,0.027027027,1.0,4,148,4,?a,1.0,0.0,1.0,0.0,1,0,1,0
