Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  affiliation  ?f  ?f  europeanAffiliation  ?b   ,?a  europeanAffiliation  ?b,0.027777778,0.833333333,1.0,5,6,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?e  affiliation  ?a  ?e  europeanAffiliation  ?b   ,?a  europeanAffiliation  ?b,0.027777778,1.0,1.0,5,5,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?f  affiliation  ?b  ?a  internationalAffiliation  ?f   ,?a  europeanAffiliation  ?b,0.138888889,0.581395349,1.0,25,43,25,?a,1.0,0.0,1.0,0.0,25,0,25,0
?a  largestCity  ?b  ?b  region  ?a   ,?a  countySeat  ?b,0.052199851,0.693069307,1.0,70,101,70,?b,0.7954545454545454,0.0,1.0,0.0,70,0,88,0
?f  daylightSavingTimeZone  ?b  ?a  state  ?f   ,?a  daylightSavingTimeZone  ?b,0.044444444,1.0,1.0,6,6,6,?a,1.0,1.0,0.5,0.5,3,3,3,3
?a  daylightSavingTimeZone  ?f  ?f  state  ?b   ,?a  daylightSavingTimeZone  ?b,0.044444444,1.0,1.0,6,6,6,?a,1.0,0.0,1.0,0.0,6,0,6,0
?a  capitalCountry  ?f  ?f  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1.0,1.0,2,2,2,?a,1.0,1.0,0.5,0.5,1,1,1,1
?a  capitalRegion  ?f  ?f  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1.0,1.0,2,2,2,?a,1.0,1.0,0.5,0.5,1,1,1,1
?f  state  ?b  ?a  timeZone  ?f   ,?a  daylightSavingTimeZone  ?b,0.044444444,1.0,1.0,6,6,6,?a,1.0,0.0,1.0,0.0,6,0,6,0
?a  capital  ?f  ?f  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,0.222222222,1.0,2,9,2,?a,0.0,1.0,0.0,1.0,0,2,0,2
?a  state  ?b  ?a  timeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.037037037,0.3125,1.0,5,16,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?e  capital  ?a  ?e  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,0.4,1.0,2,5,2,?a,0.0,1.0,0.0,1.0,0,2,0,2
?e  capitalCountry  ?a  ?e  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1.0,1.0,2,2,2,?a,0.0,1.0,0.0,1.0,0,2,0,2
?e  capitalRegion  ?a  ?e  daylightSavingTimeZone  ?b   ,?a  daylightSavingTimeZone  ?b,0.014814815,1.0,1.0,2,2,2,?a,1.0,1.0,0.5,0.5,1,1,1,1
?e  daylightSavingTimeZone  ?b  ?e  state  ?a   ,?a  daylightSavingTimeZone  ?b,0.022222222,0.333333333,1.0,3,9,3,?a,0.0,1.0,0.0,1.0,0,3,0,3
?e  city  ?a  ?e  state  ?b   ,?a  canton  ?b,0.010152284,0.001498127,1.0,2,1335,2,?a,1.0,0.0,1.0,0.0,2,0,2,0
?a  president  ?b  ?b  spouse  ?a   ,?a  spouse  ?b,0.010834236,1.0,1.0,20,20,20,?b,1.0,1.0,0.25,0.75,5,15,5,15
?b  president  ?a  ?b  spouse  ?a   ,?a  spouse  ?b,0.010834236,1.0,1.0,20,20,20,?b,1.0,1.0,0.6,0.4,12,8,12,8
?a  arrondissement  ?f  ?b  part  ?f   ,?a  department  ?b,0.013605442,0.222222222,1.0,2,9,2,?a,1.0,0.0,1.0,0.0,2,0,2,0
?a  arrondissement  ?f  ?f  department  ?b   ,?a  department  ?b,0.068027211,0.555555556,1.0,10,18,10,?a,1.0,0.0,1.0,0.0,10,0,10,0
?f  sire  ?b  ?a  sire  ?f   ,?a  grandsire  ?b,0.729613734,0.965909091,1.0,170,176,170,?a,1.0,0.0,1.0,0.0,170,0,170,0
?e  arrondissement  ?a  ?e  department  ?b   ,?a  department  ?b,0.06122449,0.818181818,1.0,9,11,9,?a,1.0,0.0,1.0,0.0,9,0,9,0
?a  director  ?b  ?a  musicComposer  ?b   ,?a  editing  ?b,0.016556291,0.714285714,1.0,5,7,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?e  isPartOfWineRegion  ?b  ?e  similar  ?a   ,?a  isPartOfWineRegion  ?b,0.115107914,1.0,1.0,16,16,16,?a,1.0,0.0,1.0,0.0,16,0,16,0
?a  dam  ?f  ?f  sire  ?b   ,?a  damsire  ?b,0.041958042,1.0,1.0,6,6,6,?a,1.0,0.0,1.0,0.0,6,0,6,0
?a  previousWork  ?f  ?f  series  ?b   ,?a  series  ?b,0.37037037,0.991735537,1.0,120,121,120,?a,1.0,0.0,1.0,0.0,120,0,120,0
?f  series  ?b  ?a  subsequentWork  ?f   ,?a  series  ?b,0.37037037,1.0,1.0,120,120,120,?a,1.0,0.0,1.0,0.0,120,0,120,0
?f  series  ?b  ?a  spouse  ?f   ,?a  series  ?b,0.064814815,1.0,1.0,21,21,21,?a,1.0,0.0,1.0,0.0,21,0,21,0
?a  relative  ?f  ?f  series  ?b   ,?a  series  ?b,0.104938272,1.0,1.0,34,34,34,?a,1.0,0.0,1.0,0.0,29,0,29,0
?a  lastAppearance  ?f  ?f  series  ?b   ,?a  series  ?b,0.018518519,0.666666667,1.0,6,9,6,?a,1.0,0.0,1.0,0.0,6,0,6,0
?a  child  ?f  ?f  series  ?b   ,?a  series  ?b,0.040123457,0.866666667,1.0,13,15,13,?a,1.0,0.0,1.0,0.0,12,0,12,0
?e  series  ?b  ?e  spouse  ?a   ,?a  series  ?b,0.067901235,1.0,1.0,22,22,22,?a,1.0,0.0,1.0,0.0,22,0,22,0
?e  child  ?a  ?e  series  ?b   ,?a  series  ?b,0.049382716,0.888888889,1.0,16,18,16,?a,1.0,0.0,1.0,0.0,13,0,13,0
?e  previousWork  ?a  ?e  series  ?b   ,?a  series  ?b,0.37037037,1.0,1.0,120,120,120,?a,1.0,0.0,1.0,0.0,120,0,120,0
?e  series  ?b  ?e  subsequentWork  ?a   ,?a  series  ?b,0.37037037,1.0,1.0,120,120,120,?a,1.0,0.0,1.0,0.0,120,0,120,0
?e  relative  ?a  ?e  series  ?b   ,?a  series  ?b,0.111111111,0.837209302,1.0,36,43,36,?a,1.0,0.0,1.0,0.0,31,0,31,0
?e  city  ?a  ?e  county  ?b   ,?a  ceremonialCounty  ?b,0.017647059,0.028846154,1.0,3,104,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?a  councilArea  ?b  ?b  largestSettlement  ?a   ,?a  lieutenancyArea  ?b,0.018518519,1.0,1.0,2,2,2,?a,1.0,0.0,1.0,0.0,2,0,2,0
?e  archipelago  ?b  ?e  largestSettlement  ?a   ,?a  lieutenancyArea  ?b,0.018518519,1.0,1.0,2,2,2,?a,1.0,0.0,1.0,0.0,2,0,2,0
?a  childOrganisation  ?f  ?f  jurisdiction  ?b   ,?a  jurisdiction  ?b,0.037037037,1.0,1.0,4,4,4,?a,1.0,0.0,1.0,0.0,4,0,4,0
?f  jurisdiction  ?b  ?a  parentOrganisation  ?f   ,?a  jurisdiction  ?b,0.092592593,0.666666667,1.0,10,15,10,?a,1.0,0.0,1.0,0.0,10,0,10,0
?e  jurisdiction  ?b  ?e  parentOrganisation  ?a   ,?a  jurisdiction  ?b,0.064814815,0.583333333,1.0,7,12,7,?a,1.0,0.0,1.0,0.0,7,0,7,0
?e  childOrganisation  ?a  ?e  jurisdiction  ?b   ,?a  jurisdiction  ?b,0.046296296,0.384615385,1.0,5,13,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?a  anthem  ?f  ?f  twinCountry  ?b   ,?a  twinCountry  ?b,0.024539877,1.0,1.0,4,4,4,?b,0.0,1.0,0.0,1.0,0,1,0,1
?f  twinCountry  ?b  ?a  twinCountry  ?f   ,?a  twinCountry  ?b,0.079754601,1.0,1.0,13,13,13,?b,0.0,1.0,0.0,1.0,0,1,0,1
?f  isPartOf  ?b  ?a  twinTown  ?f   ,?a  twinCountry  ?b,0.012269939,0.014814815,1.0,2,135,2,?b,0.0,0.11764705882352941,0.0,1.0,0,2,18,17
?e  anthem  ?a  ?e  twinCountry  ?b   ,?a  twinCountry  ?b,0.024539877,1.0,1.0,4,4,4,?b,0.0,1.0,0.0,1.0,0,1,0,1
?a  affiliation  ?f  ?f  internationalAffiliation  ?b   ,?a  internationalAffiliation  ?b,0.015432099,0.555555556,1.0,5,9,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?e  affiliation  ?a  ?e  internationalAffiliation  ?b   ,?a  internationalAffiliation  ?b,0.015432099,0.357142857,1.0,5,14,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?a  composer  ?b  ?a  endingTheme  ?b   ,?a  openingTheme  ?b,0.014888337,0.666666667,1.0,6,9,6,?a,1.0,0.0,1.0,0.0,6,0,6,0
?e  showJudge  ?b  ?a  showJudge  ?e   ,?a  showJudge  ?b,0.020920502,1.0,1.0,5,5,5,?b,1.0,0.0,1.0,0.0,1,0,1,0
?b  country  ?f  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.015625,0.004524887,1.0,3,663,3,?b,0.3,0.0,1.0,0.0,3,0,10,0
?f  isPartOf  ?b  ?a  state  ?f   ,?a  routeEnd  ?b,0.010416667,0.032258065,1.0,2,62,2,?b,1.0,0.0,1.0,0.0,2,0,2,0
?b  largestCity  ?f  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.010416667,0.1,1.0,2,20,2,?b,0.13333333333333333,0.0,1.0,0.0,2,0,15,0
?f  largestCity  ?b  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.010416667,0.4,1.0,2,5,2,?b,0.4,0.0,1.0,0.0,2,0,5,0
?f  country  ?b  ?a  routeEnd  ?f   ,?a  routeEnd  ?b,0.015625,0.033707865,1.0,3,89,3,?b,0.033707865168539325,0.0,1.0,0.0,3,0,89,0
?a  relation  ?f  ?b  relative  ?f   ,?a  relation  ?b,0.019762846,0.185185185,1.0,5,27,5,?b,0.5714285714285714,0.1,0.8,0.2,4,1,7,10
?e  parent  ?b  ?e  spouse  ?a   ,?a  relation  ?b,0.011857708,0.022556391,1.0,3,133,3,?b,0.0,0.6666666666666666,0.0,1.0,0,2,0,3
?a  city  ?b  ?a  map  ?b   ,?a  routeJunction  ?b,0.010309278,0.727272727,1.0,8,11,8,?b,1.0,0.0,1.0,0.0,4,0,4,0
?b  country  ?f  ?a  nearestCity  ?f   ,?a  nearestCity  ?b,0.017021277,0.051948052,1.0,4,77,4,?b,0.25,0.0,1.0,0.0,1,0,4,0
?f  country  ?b  ?a  nearestCity  ?f   ,?a  nearestCity  ?b,0.012765957,0.033333333,1.0,3,90,3,?b,0.018518518518518517,0.0,1.0,0.0,1,0,54,0
?b  isPartOf  ?f  ?a  twinCountry  ?f   ,?a  twinTown  ?b,0.010204082,0.018867925,1.0,2,106,2,?b,0.0,0.25,0.0,1.0,0,2,13,8
?a  anthem  ?f  ?f  twinTown  ?b   ,?a  twinTown  ?b,0.015306122,1.0,1.0,3,3,3,?b,0.0,1.0,0.0,1.0,0,1,0,1
?b  doctoralStudent  ?a  ?a  influencedBy  ?b   ,?a  doctoralAdvisor  ?b,0.025477707,0.571428571,1.0,4,7,4,?a,1.0,1.0,0.25,0.75,1,3,1,3
?b  isPartOf  ?f  ?a  twinTown  ?f   ,?a  twinTown  ?b,0.030612245,0.013245033,1.0,6,453,6,?b,0.11764705882352941,0.3,0.4,0.6,2,3,17,10
?b  doctoralStudent  ?a  ?b  influenced  ?a   ,?a  doctoralAdvisor  ?b,0.01910828,0.6,1.0,3,5,3,?a,1.0,1.0,0.3333333333333333,0.6666666666666666,1,2,1,2
?e  anthem  ?a  ?e  twinTown  ?b   ,?a  twinTown  ?b,0.015306122,1.0,1.0,3,3,3,?b,0.0,1.0,0.0,1.0,0,1,0,1
?f  isPartOf  ?b  ?a  twinTown  ?f   ,?a  twinTown  ?b,0.030612245,0.044444444,1.0,6,135,6,?b,0.0625,0.13043478260869565,0.4,0.6,2,3,32,23
?b  doctoralAdvisor  ?a  ?a  influenced  ?b   ,?a  doctoralStudent  ?b,0.018181818,0.75,1.0,3,4,3,?b,1.0,1.0,0.6666666666666666,0.3333333333333333,2,1,2,1
?a  countySeat  ?f  ?f  state  ?b   ,?a  state  ?b,0.025302221,0.97826087,1.0,90,92,90,?a,1.0,0.0,1.0,0.0,90,0,90,0
?a  largestCity  ?f  ?f  state  ?b   ,?a  state  ?b,0.027270171,0.96039604,1.0,97,101,97,?a,1.0,0.0,1.0,0.0,97,0,97,0
?e  largestCity  ?a  ?e  state  ?b   ,?a  state  ?b,0.027270171,0.073932927,1.0,97,1312,97,?a,1.0,1.0,0.8144329896907216,0.18556701030927836,79,18,79,18
?e  countySeat  ?a  ?e  state  ?b   ,?a  state  ?b,0.025302221,0.069605568,1.0,90,1293,90,?a,1.0,1.0,0.8444444444444444,0.15555555555555556,76,14,76,14
?f  isPartOf  ?b  ?a  province  ?f   ,?a  region  ?b,0.059655325,0.992647059,1.0,135,136,135,?a,1.0,0.0,1.0,0.0,135,0,135,0
?a  notableCommander  ?e  ?e  predecessor  ?b   ,?a  notableCommander  ?b,0.026819923,0.118644068,1.0,7,59,7,?b,0.15151515151515152,0.0,1.0,0.0,5,0,33,0
?a  author  ?b  ?b  knownFor  ?a   ,?a  creator  ?b,0.013249651,0.904761905,1.0,19,21,19,?a,1.0,0.0,1.0,0.0,18,0,18,0
?b  director  ?a  ?b  writer  ?a   ,?a  notableWork  ?b,0.011904762,0.00877193,1.0,2,228,2,?b,0.5,0.5,0.5,0.5,1,1,2,2
?b  producer  ?a  ?b  writer  ?a   ,?a  notableWork  ?b,0.011904762,0.001960784,1.0,2,1020,2,?b,1.0,1.0,0.5,0.5,1,1,1,1
?a  notableWork  ?f  ?b  subsequentWork  ?f   ,?a  notableWork  ?b,0.053571429,0.5625,1.0,9,16,9,?b,0.8,0.5,0.5,0.5,4,4,5,8
?a  notableWork  ?f  ?f  previousWork  ?b   ,?a  notableWork  ?b,0.05952381,0.625,1.0,10,16,10,?b,0.7142857142857143,0.6666666666666666,0.5555555555555556,0.4444444444444444,5,4,7,6
?a  district  ?f  ?f  federalState  ?b   ,?a  federalState  ?b,0.023076923,0.5,1.0,3,6,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?f  federalState  ?b  ?a  region  ?f   ,?a  federalState  ?b,0.169230769,0.814814815,1.0,22,27,22,?a,1.0,0.0,1.0,0.0,22,0,22,0
?e  federalState  ?b  ?e  region  ?a   ,?a  federalState  ?b,0.038461538,0.555555556,1.0,5,9,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?e  district  ?a  ?e  federalState  ?b   ,?a  federalState  ?b,0.023076923,0.115384615,1.0,3,26,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?a  canton  ?b  ?b  neighboringMunicipality  ?a   ,?a  neighboringMunicipality  ?b,0.030448718,1.0,1.0,19,19,19,?b,1.0,0.0,1.0,0.0,19,0,19,0
?b  part  ?f  ?a  routeStart  ?f   ,?a  routeStart  ?b,0.01010101,0.133333333,1.0,2,15,2,?b,0.14285714285714285,0.0,1.0,0.0,2,0,14,0
?f  isPartOf  ?b  ?a  state  ?f   ,?a  routeStart  ?b,0.01010101,0.032258065,1.0,2,62,2,?b,1.0,0.0,1.0,0.0,2,0,2,0
?a  operator  ?b  ?a  tenant  ?b   ,?a  owner  ?b,0.010869565,0.565217391,1.0,13,23,13,?a,1.0,0.0,1.0,0.0,13,0,13,0
?b  followingEvent  ?a  ?a  followingEvent  ?b   ,?a  previousEvent  ?b,0.145631068,1.0,1.0,15,15,15,?a,1.0,0.0,1.0,0.0,8,0,8,0
?e  grandsire  ?b  ?e  sire  ?a   ,?a  sire  ?b,0.401785714,0.989010989,1.0,90,91,90,?a,1.0,0.0,1.0,0.0,90,0,90,0
?e  dam  ?a  ?e  damsire  ?b   ,?a  sire  ?b,0.022321429,1.0,1.0,5,5,5,?a,1.0,0.0,1.0,0.0,5,0,5,0
?b  leader  ?f  ?a  thirdCommander  ?f   ,?a  commandStructure  ?b,0.018867925,0.068181818,1.0,3,44,3,?a,1.0,0.0,1.0,0.0,3,0,3,0
?a  varietals  ?f  ?b  wineRegion  ?f   ,?a  varietals  ?b,0.032258065,1.0,1.0,7,7,7,?b,1.0,0.0,1.0,0.0,5,0,5,0
?a  varietals  ?e  ?e  wineRegion  ?b   ,?a  varietals  ?b,0.032258065,0.023411371,1.0,7,299,7,?b,0.23809523809523808,0.0,1.0,0.0,5,0,21,0
?a  citizenship  ?b  ?a  nationality  ?b   ,?a  stateOfOrigin  ?b,0.026137464,0.473684211,1.0,27,57,27,?a,1.0,1.0,0.8076923076923077,0.19230769230769232,21,5,21,5
?e  class  ?a  ?e  division  ?b   ,?a  division  ?b,0.055240793,0.639344262,1.0,39,61,39,?a,1.0,0.0,1.0,0.0,27,0,27,0
?a  nationality  ?b  ?a  residence  ?b   ,?a  stateOfOrigin  ?b,0.060019361,0.342541436,1.0,62,181,62,?a,1.0,1.0,0.8709677419354839,0.12903225806451613,54,8,54,8
