Body,Head,Head Coverage,Std_Confidence,PCA_Confidence,Positive Examples,Body size,PCA Body size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  father  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.593137255,0.564102564,0.753894081,242,429,321,?a,0.9717514124293786,0.9210526315789473,0.7107438016528925,0.2892561983471074,172,70,177,76
?f  child  ?a  ?b  spouse  ?f   ,?a  mother  ?b,0.279411765,0.084947839,0.373770492,114,1342,305,?a,0.5083333333333333,0.6625,0.5350877192982456,0.4649122807017544,61,53,120,80
?a  mother  ?f  ?b  name  ?f   ,?a  mother  ?b,0.164215686,0.957142857,0.957142857,67,70,70,?a,0.9642857142857143,0.9285714285714286,0.8059701492537313,0.19402985074626866,54,13,56,14
?f  father  ?b  ?a  name  ?f   ,?a  father  ?b,0.131907308,0.973684211,0.973684211,74,76,76,?a,0.9852941176470589,0.875,0.9054054054054054,0.0945945945945946,67,7,68,8
?b  child  ?a  ?a  parent  ?b   ,?a  father  ?b,0.272727273,0.451327434,0.583969466,153,339,262,?a,0.6231884057971014,0.8170731707317073,0.5620915032679739,0.43790849673202614,86,67,138,82
?a  parent  ?f  ?b  spouse  ?f   ,?a  mother  ?b,0.541666667,0.320754717,0.427466151,221,689,517,?a,0.7582938388625592,0.5754716981132075,0.7239819004524887,0.27601809954751133,160,61,211,106
?b  name  ?f  ?a  parent  ?f   ,?a  mother  ?b,0.112745098,0.484210526,0.836363636,46,95,55,?a,0.8571428571428571,0.8333333333333334,0.782608695652174,0.21739130434782608,36,10,42,12
?a  mother  ?e  ?e  spouse  ?b   ,?a  father  ?b,0.431372549,0.76340694,0.906367041,242,317,267,?a,0.9828571428571429,0.9722222222222222,0.7107438016528925,0.2892561983471074,172,70,175,72
?b  child  ?f  ?a  name  ?f   ,?a  mother  ?b,0.06127451,0.454545455,0.595238095,25,55,42,?a,0.7931034482758621,0.6666666666666666,0.92,0.08,23,2,29,3
?a  father  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.556372549,0.557739558,0.741830065,227,407,306,?a,0.9580838323353293,0.881578947368421,0.7048458149779736,0.29515418502202645,160,67,167,76
?b  child  ?f  ?f  name  ?a   ,?a  mother  ?b,0.06127451,0.073746313,0.694444444,25,339,36,?a,0.92,0.6666666666666666,0.92,0.08,23,2,25,3
?f  mother  ?b  ?a  name  ?f   ,?a  mother  ?b,0.102941176,0.954545455,0.954545455,42,44,44,?a,0.975,0.75,0.9285714285714286,0.07142857142857142,39,3,40,4
?a  name  ?f  ?f  parent  ?b   ,?a  mother  ?b,0.088235294,0.3,0.493150685,36,120,73,?a,0.868421052631579,0.75,0.9166666666666666,0.08333333333333333,33,3,38,4
?f  name  ?b  ?a  parent  ?f   ,?a  mother  ?b,0.112745098,0.086956522,0.13372093,46,529,344,?a,0.1791044776119403,0.1111111111111111,0.782608695652174,0.21739130434782608,36,10,201,90
?a  predecessor  ?f  ?f  spouse  ?b   ,?a  mother  ?b,0.154411765,0.235074627,0.463235294,63,268,136,?a,0.5853658536585366,0.7222222222222222,0.38095238095238093,0.6190476190476191,24,39,41,54
?a  mother  ?f  ?f  name  ?b   ,?a  mother  ?b,0.164215686,0.372222222,0.372222222,67,180,180,?a,0.3673469387755102,0.3939393939393939,0.8059701492537313,0.19402985074626866,54,13,147,33
?e  spouse  ?b  ?e  successor  ?a   ,?a  mother  ?b,0.149509804,0.225092251,0.438848921,61,271,139,?a,0.5,0.7818181818181819,0.29508196721311475,0.7049180327868853,18,43,36,55
?e  name  ?a  ?e  parent  ?b   ,?a  mother  ?b,0.088235294,0.048257373,0.5,36,746,72,?a,0.868421052631579,0.75,0.9166666666666666,0.08333333333333333,33,3,38,4
